feature_variant,n_added_features,added_features,model,MedAPE,MAPE,wMAPE,MAE,R2,n_scored
E_three_core_features,3,"transport_nearest_km, grocery_nearest_km, distance_to_city_center_km",Linear regression on log-price,0.15874610870109024,0.23603921874933792,0.20734712319941778,1627610.6053607138,0.7440174588543329,11258
D_city_center_only,1,distance_to_city_center_km,Linear regression on log-price,0.1611292349976497,0.23900652858352686,0.20868660226153257,1638125.1005392165,0.7432084701880697,11258
C_nearest_grocery_only,1,grocery_nearest_km,Linear regression on log-price,0.18482324652584464,0.2687216921661399,0.23135839514775616,1816091.6427066205,0.7113290146751039,11258
B_nearest_transport_only,1,transport_nearest_km,Linear regression on log-price,0.189297571816945,0.2759332786748157,0.2359430925710569,1852080.0954683088,0.7054391075575708,11258
A_baseline_only,0,(none),Linear regression on log-price,0.19004973853261692,0.2773535352071248,0.23628783281937546,1854786.1994913595,0.7052659592997144,11258
E_three_core_features,3,"transport_nearest_km, grocery_nearest_km, distance_to_city_center_km",XGBoost baseline,0.08642681008388826,0.1350079844205068,0.12418096986327312,974782.0968755551,0.8944414319015577,11258
D_city_center_only,1,distance_to_city_center_km,XGBoost baseline,0.08762736565129786,0.13626668721369992,0.12574285697469476,987042.4262579943,0.8922140402650414,11258
C_nearest_grocery_only,1,grocery_nearest_km,XGBoost baseline,0.0894978110110319,0.1398138814499385,0.12790711868716004,1004031.209423299,0.8890437456977425,11258
A_baseline_only,0,(none),XGBoost baseline,0.09067199447249509,0.14168091414674078,0.1290719478166222,1013174.7568007195,0.8880858302774081,11258
B_nearest_transport_only,1,transport_nearest_km,XGBoost baseline,0.09117491833508956,0.14161750232821377,0.12882406909314004,1011228.98570461,0.8893093146305253,11258
